sample_id,ucdb_id,city_name,country,country_un_m49,ucdb_region,income_group_ucdb,population_2025,area_km2_2025,is_capital,centroid_lon,centroid_lat,xmin,ymin,xmax,ymax,sample_population_weight,ucdb_id_r,city_name_r,country_r,ucdb_region_r,income_group_ucdb_r,population_2025_r,area_km2_2025_r,status,cli_returncode,download_elapsed_s,n_bbox,n_buildings,n_height,n_num_floors,n_vertical_evidence,bad_lines,height_pct,floors_pct,vertical_evidence_pct,power_ok,hot_days_ge32,hot_days_ge35,hot_days_ge40,t2m_max_p95,t2m_max_max,heat_readiness_mismatch
ucdb_050,3845,Boumerdes,Algeria,Algeria,Northern Africa and Western Asia,Lower Middle,560227.3572,161.0,0,3.371616019586511,36.728954456861,3.250021043447924,36.66212068255722,3.5037873541422866,36.78526255324008,0.0021445216817105,3845,Boumerdes,Algeria,Northern Africa and Western Asia,Lower Middle,560227.3572,161.0,downloaded,0.0,34.2,145928,101217,29,2103,2106,0,0.0287,2.0777,2.0807,True,83,50,6,38.01,42.12,False
ucdb_051,4132,Lucena,Philippines,Philippines,Eastern and South-Eastern Asia,Lower Middle,329216.7729,54.0,0,121.62472647963456,13.94280722153044,121.57710290437736,13.8902405597385,121.70224721438464,13.980227776061408,0.0012602249754376,4132,Lucena,Philippines,Eastern and South-Eastern Asia,Lower Middle,329216.7729,54.0,downloaded,0.0,19.6,74644,61166,3,73,73,0,0.0049,0.1193,0.1193,True,48,0,0,33.48,34.23,False
ucdb_052,2074,Batticaloa,Sri Lanka,Sri Lanka,Central and Southern Asia,Lower Middle,139380.1403,56.0,0,81.71555175394153,7.7007038092550335,81.66812596783839,7.643459985708594,81.76169880773246,7.757080999904025,0.0005335400512519,2074,Batticaloa,Sri Lanka,Central and Southern Asia,Lower Middle,139380.1403,56.0,downloaded,0.0,32.0,72888,65399,10,26036,26038,0,0.0153,39.811,39.8141,True,125,0,0,33.52,34.79,False
ucdb_053,4993,Bagram,Afghanistan,Afghanistan,Central and Southern Asia,Low income,116037.1983,18.0,0,69.26108468819201,34.94087430259544,69.21557927589987,34.91955534153459,69.30376913491874,34.963164538546714,0.0004441844626849,4993,Bagram,Afghanistan,Central and Southern Asia,Low income,116037.1983,18.0,downloaded,0.0,16.1,6186,2377,0,0,0,0,0.0,0.0,0.0,True,10,0,0,30.73,33.34,False
ucdb_054,6778,Khasavyurt,Russia,Russian Federation,Europe,Upper Middle,207881.4441,41.0,0,46.59413272612786,43.2470829949556,46.5432472695282,43.21051011042386,46.63707196530848,43.283441664237856,0.0007957595400658,6778,Khasavyurt,Russia,Europe,Upper Middle,207881.4441,41.0,downloaded,0.0,35.3,45716,42029,4,290,291,0,0.0095,0.69,0.6924,True,19,4,0,32.03,35.75,False
ucdb_055,3269,Pohang-si,South Korea,Republic of Korea,Eastern and South-Eastern Asia,High income,373322.8152,103.0,0,129.38413523654376,36.018872742054896,129.30934620067012,35.95109657935764,129.44353291099014,36.10012240564793,0.0014290606504384,3269,Pohang-si,South Korea,Eastern and South-Eastern Asia,High income,373322.8152,103.0,downloaded,0.0,73.3,40531,35295,2,768,770,0,0.0057,2.1759,2.1816,True,4,0,0,30.98,32.86,False
ucdb_056,6967,Bandar Abbas,Iran,Iran (Islamic Republic of),Central and Southern Asia,Lower Middle,374709.0936,70.0,0,56.29783196395879,27.19343339003095,56.20720159853042,27.15429251115615,56.378616033838654,27.23886266991506,0.00143436725328,6967,Bandar Abbas,Iran,Central and Southern Asia,Lower Middle,374709.0936,70.0,downloaded,0.0,12.4,4730,3763,103,53,139,0,2.7372,1.4085,3.6939,True,197,151,24,40.29,44.06,True
ucdb_057,5972,Peterborough,United Kingdom,United Kingdom,Europe,High income,189937.2878,63.0,0,-0.2575922440891878,52.56897583335585,-0.3132269690570766,52.51259027966106,-0.2042210630894484,52.629567778018455,0.0007270702271452,5972,Peterborough,United Kingdom,Europe,High income,189937.2878,63.0,downloaded,0.0,19.2,56686,53076,34865,319,35052,0,65.6888,0.601,66.0411,True,0,0,0,24.94,30.33,False
ucdb_058,997,الياقوت,Saudi Arabia,Saudi Arabia,Northern Africa and Western Asia,High income,101809.4311,26.0,0,39.11443489508187,21.76409082271597,39.075302322219365,21.73817380388893,39.15605044397117,21.80472973600774,0.0003897212972386,997,الياقوت,Saudi Arabia,Northern Africa and Western Asia,High income,101809.4311,26.0,downloaded,0.0,13.9,12136,6775,1,3,4,0,0.0148,0.0443,0.059,True,296,226,140,43.7,47.99,True
ucdb_059,7168,Miami,United States,United States of America,Northern America,High income,5733041.657,2784.0,0,-80.21736846736512,26.121252386324244,-80.47913026776334,25.535135426879048,-80.01897200901377,26.88383060741735,0.0219457903609612,7168,Miami,United States,Northern America,High income,5733041.657,2784.0,downloaded,0.0,85.4,1389899,1244996,1005425,11132,1006896,0,80.7573,0.8941,80.8754,True,0,0,0,31.24,31.98,False
